,Observed,True,MTSClean,MTSCleanSoft,GlobalSpeedAccelClean,MedianFilterClean,IMRClean
12221,20.068796081011435,10.430890000014154,12.483886003948967,16.382594239463923,20.068796081011435,19.928913311190556,12.014884202105604
12222,20.17650462125203,10.538598540254748,12.564674949192483,16.471531925744596,20.17650462125203,19.928913311190556,12.374193471223538
12223,19.756274894891384,10.653808040616171,12.627329111912085,16.248071025455904,19.756274894891384,19.756274894891384,12.190601461904679
12224,19.352275385898707,10.78524775834557,12.80989170592282,16.182597776479696,19.352275385898707,19.352275385898707,19.352275385898707
12225,18.93900998499206,10.907421584160991,12.865507903713937,15.952610873415837,18.93900998499206,18.93900998499206,11.005683087818806
12226,18.506330334360907,11.010181160251909,12.921135773121627,15.737313340378906,18.506330334360907,18.506330334360907,10.394735171054965
12227,18.076298081419466,11.11558813403254,13.01044533182992,15.557184205427408,18.076298081419466,18.076298081419466,10.51461382606724
12228,17.6500580467903,11.224787326125446,13.254944468530026,15.471753548771682,17.6500580467903,17.6500580467903,10.176220414188947
12229,17.231962933882173,11.342131439939388,13.421370722573995,15.338832926470497,17.231962933882173,17.231962933882173,10.1074135941181
12230,16.80425609783033,11.449863830609617,13.391547249748633,15.105382969373464,16.80425609783033,16.80425609783033,9.813387503548697
12231,16.324805754681073,11.50585271418243,13.717039828962736,16.324805754681073,16.324805754681073,16.324805754681073,9.563861589094277
12232,15.879974310149874,11.596460496373304,13.776223126171924,15.879974310149874,15.879974310149874,15.879974310149874,15.879974310149874
12233,15.461151759137817,11.713077172083317,13.679486017314325,15.461151759137817,15.461151759137817,15.461151759137817,10.663933319530496
12234,14.99938650956437,11.786751149231943,13.768975484968534,14.99938650956437,14.99938650956437,14.99938650956437,11.079708728686942
12235,14.547590739579187,11.87039460596883,14.069784222246609,14.547590739579187,14.547590739579187,14.547590739579187,10.385746279904975
12236,14.066208511629327,11.924451604741042,13.819687272527894,14.066208511629327,14.066208511629327,14.066208511629327,10.396296020549167
12237,13.56804750642985,11.961729826263635,13.56804750642985,13.56804750642985,13.56804750642985,13.56804750642985,9.885568831729145
12238,13.066952898385033,11.99607444494089,13.066952898385033,13.066952898385033,13.066952898385033,13.066952898385033,13.066952898385033
12239,12.586488911976193,12.051049685254121,12.586488911976193,12.586488911976193,12.586488911976193,12.586488911976193,10.76732216508253
12240,12.110711534991022,12.110711534991022,12.110711534991022,12.110711534991022,12.110711534991022,12.258476871806929,11.192376429598808
12241,12.199947917477786,12.199947917477786,12.199947917477786,12.199947917477786,12.199947917477786,12.258476871806929,10.850790392735036
12242,12.258476871806929,12.258476871806929,12.258476871806929,12.258476871806929,12.258476871806929,12.258476871806929,11.319516285225598
12243,12.387543471787438,12.387543471787438,12.387543471787438,12.387543471787438,12.387543471787438,12.387543471787438,11.319956927728363
12244,12.474824119043967,12.474824119043967,12.474824119043967,12.474824119043967,12.474824119043967,12.474824119043967,11.64092665053478
12245,12.562045140226392,12.562045140226392,12.562045140226392,12.562045140226392,12.562045140226392,12.562045140226392,11.662256497543833
12246,12.687307596679808,12.687307596679808,12.687307596679808,12.687307596679808,12.687307596679808,12.687307596679808,11.948031355172223
12247,12.813178239088964,12.813178239088964,12.813178239088964,12.813178239088964,12.813178239088964,12.813178239088964,12.103471935970996
12248,12.918764091091873,12.918764091091873,12.918764091091873,12.918764091091873,12.918764091091873,12.918764091091873,12.234742933071491
12249,13.012782484720843,13.012782484720843,13.012782484720843,13.012782484720843,13.012782484720843,13.012782484720843,13.012782484720843
12250,13.102567427089244,13.102567427089244,13.102567427089244,13.102567427089244,13.102567427089244,13.102567427089244,12.891874207819047
